id,name,score1,score2
132,student_132,57,71
133,student_133,55,74
134,student_134,90,58
135,student_135,94,86
136,student_136,73,93
137,student_137,80,98
138,student_138,58,64
139,student_139,58,99
140,student_140,82,69
141,student_141,97,60
142,student_142,99,81
143,student_143,77,60
144,student_144,89,85
145,student_145,76,56
146,student_146,72,93
147,student_147,66,69
148,student_148,62,50
149,student_149,53,81
150,student_150,69,93
151,student_151,57,73
152,student_152,86,74
153,student_153,52,67
154,student_154,83,74
155,student_155,100,78
156,student_156,58,51
157,student_157,70,63
158,student_158,85,73
159,student_159,100,71
160,student_160,54,99
161,student_161,82,92
162,student_162,54,98
163,student_163,61,73
164,student_164,89,73
165,student_165,66,69
166,student_166,76,75
167,student_167,85,81
168,student_168,95,64
169,student_169,96,67
170,student_170,71,51
171,student_171,68,70
172,student_172,86,100
173,student_173,99,75
174,student_174,69,69
175,student_175,70,54
176,student_176,72,75
177,student_177,52,72
178,student_178,73,96
179,student_179,80,73
180,student_180,93,65
181,student_181,76,53
182,student_182,89,71
183,student_183,97,50
184,student_184,50,73
185,student_185,62,70
186,student_186,79,84
187,student_187,75,53
188,student_188,82,81
189,student_189,52,87
190,student_190,66,64
191,student_191,94,58
192,student_192,51,88
193,student_193,77,74
194,student_194,96,65
195,student_195,76,81
196,student_196,74,85
197,student_197,59,52
198,student_198,93,84
199,student_199,52,69
200,student_200,54,72
201,student_201,97,78
202,student_202,64,78
203,student_203,79,51
204,student_204,55,60
205,student_205,76,81
206,student_206,60,94
207,student_207,54,73
208,student_208,86,65
209,student_209,100,63
210,student_210,76,75
211,student_211,92,63
212,student_212,79,90
213,student_213,96,75
214,student_214,90,86
215,student_215,67,83
216,student_216,83,94
217,student_217,96,99
218,student_218,81,80
219,student_219,93,56
220,student_220,54,84
221,student_221,76,59
222,student_222,64,89
223,student_223,71,73
224,student_224,64,76
225,student_225,80,99
226,student_226,59,100
227,student_227,87,61
228,student_228,73,78
229,student_229,59,51
230,student_230,52,79
231,student_231,99,60
232,student_232,77,98
233,student_233,54,52
234,student_234,59,69
235,student_235,96,72
236,student_236,84,50
237,student_237,71,76
238,student_238,92,79
239,student_239,81,94
240,student_240,54,90
241,student_241,99,94
242,student_242,67,84
243,student_243,52,90
244,student_244,83,57
245,student_245,73,92
246,student_246,95,75
247,student_247,90,75
248,student_248,68,60
249,student_249,53,94
250,student_250,52,86
251,student_251,99,68
252,student_252,100,53
253,student_253,96,69
254,student_254,51,66
255,student_255,69,77
256,student_256,65,78
257,student_257,82,53
258,student_258,60,95
259,student_259,90,75
260,student_260,67,70
261,student_261,94,79
262,student_262,65,59
263,student_263,65,68
264,student_264,84,91
265,student_265,73,52
266,student_266,53,52
267,student_267,70,64
268,student_268,71,96
269,student_269,62,56
270,student_270,93,91
271,student_271,100,86
272,student_272,55,87
273,student_273,60,85
274,student_274,60,76
275,student_275,82,73
276,student_276,69,59
277,student_277,56,58
278,student_278,97,88
279,student_279,65,74
280,student_280,72,77
281,student_281,73,58
282,student_282,75,56
283,student_283,79,66
284,student_284,52,73
285,student_285,53,70
286,student_286,84,70
287,student_287,94,81
288,student_288,57,52
289,student_289,81,52
290,student_290,77,98
291,student_291,61,89
292,student_292,94,72
293,student_293,67,81
294,student_294,75,81
295,student_295,88,98
296,student_296,90,92
297,student_297,69,85
298,student_298,58,77
299,student_299,58,75
300,student_300,56,84
301,student_301,81,74
302,student_302,69,56
303,student_303,94,95
304,student_304,76,73
305,student_305,100,56
306,student_306,91,56
307,student_307,83,60
308,student_308,87,64
309,student_309,71,64
310,student_310,86,82
311,student_311,97,73
312,student_312,58,52
313,student_313,90,81
314,student_314,81,53
315,student_315,51,52
316,student_316,78,84
317,student_317,89,65
318,student_318,88,95
319,student_319,98,51
320,student_320,62,69
321,student_321,60,74
322,student_322,89,85
323,student_323,84,55
324,student_324,58,98
325,student_325,56,100
326,student_326,98,96
327,student_327,76,64
328,student_328,53,65
329,student_329,50,75
330,student_330,64,94
331,student_331,78,76
332,student_332,84,65
333,student_333,98,62
334,student_334,52,74
335,student_335,99,97
336,student_336,71,53
337,student_337,70,60
338,student_338,67,98
339,student_339,66,52
340,student_340,96,75
341,student_341,77,97
342,student_342,70,89
343,student_343,86,90
344,student_344,100,99
345,student_345,68,68
346,student_346,73,70
347,student_347,54,54
348,student_348,94,98
349,student_349,75,55
350,student_350,68,82
351,student_351,55,82
352,student_352,54,87
353,student_353,96,63
354,student_354,83,89
355,student_355,86,62
356,student_356,88,83
357,student_357,98,87
358,student_358,87,74
359,student_359,72,57
360,student_360,95,78
361,student_361,99,86
362,student_362,90,96
363,student_363,69,57
364,student_364,56,100
365,student_365,50,84
366,student_366,96,97
367,student_367,95,89
368,student_368,55,64
369,student_369,84,100
370,student_370,83,90
371,student_371,70,96
372,student_372,68,88
373,student_373,87,80
374,student_374,50,69
375,student_375,50,61
376,student_376,86,100
377,student_377,57,50
378,student_378,93,74
379,student_379,95,67
380,student_380,99,67
381,student_381,61,63
382,student_382,95,98
383,student_383,55,99
384,student_384,83,67
385,student_385,65,79
386,student_386,82,71
387,student_387,63,79
388,student_388,58,95
389,student_389,53,66
390,student_390,60,95
391,student_391,55,64
392,student_392,52,60
393,student_393,80,90
394,student_394,81,83
395,student_395,95,64
396,student_396,74,90
397,student_397,79,69
398,student_398,93,57
399,student_399,73,89
400,student_400,78,88
401,student_401,80,99
402,student_402,52,54
403,student_403,79,67
404,student_404,54,58
405,student_405,86,63
406,student_406,85,66
407,student_407,62,72
408,student_408,89,94
409,student_409,60,72
410,student_410,64,77
411,student_411,63,76
412,student_412,55,100
413,student_413,81,74
414,student_414,53,53
415,student_415,72,67
416,student_416,90,87
417,student_417,64,92
418,student_418,71,72
419,student_419,85,78
420,student_420,92,80
421,student_421,92,78
422,student_422,54,59
423,student_423,62,76
424,student_424,59,76
425,student_425,98,71
426,student_426,92,92
427,student_427,87,51
428,student_428,72,72
429,student_429,75,51
430,student_430,83,51
431,student_431,100,62
432,student_432,86,89
433,student_433,86,64
434,student_434,83,67
435,student_435,64,85
436,student_436,56,56
437,student_437,98,67
438,student_438,99,96
439,student_439,63,71
440,student_440,63,70
441,student_441,61,80
442,student_442,54,94
443,student_443,71,77
444,student_444,73,59
445,student_445,85,68
446,student_446,89,81
447,student_447,92,95
448,student_448,51,61
449,student_449,66,55
450,student_450,93,73
451,student_451,62,77
452,student_452,59,52
453,student_453,94,51
454,student_454,51,60
455,student_455,58,61
456,student_456,63,69
457,student_457,67,55
458,student_458,61,56
459,student_459,96,76
460,student_460,65,73
461,student_461,70,66
462,student_462,88,81
463,student_463,77,68
464,student_464,87,77
465,student_465,97,94
466,student_466,88,96
467,student_467,86,51
468,student_468,66,52
469,student_469,74,97
470,student_470,88,65
471,student_471,73,77
472,student_472,72,67
473,student_473,94,70
474,student_474,80,79
475,student_475,85,72
476,student_476,75,81
477,student_477,68,90
478,student_478,61,98
479,student_479,59,55
480,student_480,87,57
481,student_481,55,79
482,student_482,63,92
483,student_483,82,68
484,student_484,85,50
485,student_485,95,81
486,student_486,77,53
487,student_487,89,67
488,student_488,51,64
489,student_489,86,97
490,student_490,51,89
491,student_491,60,59
492,student_492,95,64
493,student_493,78,64
494,student_494,76,52
495,student_495,87,84
496,student_496,54,53
497,student_497,99,77
498,student_498,87,71
499,student_499,85,75
500,student_500,58,50
501,student_501,76,92
502,student_502,73,58
503,student_503,85,53
504,student_504,59,54
505,student_505,84,73
506,student_506,100,83
507,student_507,59,85
508,student_508,93,97
509,student_509,59,83
510,student_510,96,55
511,student_511,79,90
512,student_512,85,95
513,student_513,56,88
514,student_514,90,87
515,student_515,70,51
516,student_516,55,91
517,student_517,73,86
518,student_518,81,72
519,student_519,74,88
520,student_520,90,93
521,student_521,88,60
522,student_522,93,89
523,student_523,64,64
524,student_524,88,96
525,student_525,57,78
526,student_526,96,94
527,student_527,76,89
528,student_528,58,97
529,student_529,92,92
530,student_530,61,89
531,student_531,91,50
532,student_532,79,96
533,student_533,100,99
534,student_534,84,90
535,student_535,92,62
536,student_536,93,70
537,student_537,62,100
538,student_538,64,68
539,student_539,62,82
540,student_540,82,69
541,student_541,59,68
542,student_542,68,60
543,student_543,99,50
544,student_544,66,70
545,student_545,70,97
546,student_546,65,68
547,student_547,88,68
548,student_548,83,68
549,student_549,81,78
550,student_550,75,76
551,student_551,78,99
552,student_552,59,94
553,student_553,75,82
554,student_554,86,55
555,student_555,61,74
556,student_556,77,81
557,student_557,84,75
558,student_558,57,95
559,student_559,58,98
560,student_560,98,62
561,student_561,89,73
562,student_562,70,72
563,student_563,97,61
564,student_564,98,91
565,student_565,66,90
566,student_566,50,72
567,student_567,98,51
568,student_568,82,96
569,student_569,65,99
570,student_570,72,52
571,student_571,100,85
572,student_572,78,89
573,student_573,95,52
574,student_574,80,93
575,student_575,56,60
576,student_576,70,58
577,student_577,80,99
578,student_578,63,98
579,student_579,51,61
580,student_580,83,59
581,student_581,91,98
582,student_582,50,83
583,student_583,64,87
584,student_584,61,65
585,student_585,63,71
586,student_586,54,89
587,student_587,81,98
588,student_588,90,86
589,student_589,75,59
590,student_590,72,57
591,student_591,63,90
592,student_592,79,100
593,student_593,57,65
594,student_594,69,99
595,student_595,66,52
596,student_596,52,50
597,student_597,74,52
598,student_598,55,57
599,student_599,67,51
600,student_600,65,100
601,student_601,65,96
602,student_602,59,74
603,student_603,72,78
604,student_604,65,79
605,student_605,81,58
606,student_606,86,72
607,student_607,93,65
608,student_608,99,53
609,student_609,63,51
610,student_610,86,70
611,student_611,68,70
612,student_612,56,56
613,student_613,64,56
614,student_614,79,89
615,student_615,88,86
616,student_616,70,71
617,student_617,55,93
618,student_618,59,98
619,student_619,53,92
620,student_620,81,51
621,student_621,61,71
622,student_622,82,83
623,student_623,80,96
624,student_624,81,64
625,student_625,95,85
626,student_626,51,86
627,student_627,53,95
628,student_628,81,63
629,student_629,68,77
630,student_630,55,57
631,student_631,58,67
632,student_632,55,71
633,student_633,95,87
634,student_634,78,62
635,student_635,81,73
636,student_636,76,76
637,student_637,74,64
638,student_638,98,89
639,student_639,76,84
640,student_640,78,95
641,student_641,57,94
642,student_642,86,72
643,student_643,81,86
644,student_644,62,94
645,student_645,89,90
646,student_646,60,98
647,student_647,82,76
648,student_648,88,64
649,student_649,65,65
650,student_650,67,63
651,student_651,100,76
652,student_652,81,66
653,student_653,65,80
654,student_654,68,75
655,student_655,84,58
656,student_656,59,84
657,student_657,50,86
658,student_658,98,99
659,student_659,58,50
660,student_660,68,66
661,student_661,57,97
662,student_662,69,98
663,student_663,52,100
664,student_664,82,60
665,student_665,90,91
666,student_666,62,85
667,student_667,80,64
668,student_668,64,68
669,student_669,62,62
670,student_670,87,54
671,student_671,64,80
672,student_672,70,60
673,student_673,96,67
674,student_674,52,54
675,student_675,56,52
676,student_676,91,81
677,student_677,79,66
678,student_678,52,82
679,student_679,70,91
680,student_680,85,92
681,student_681,99,50
682,student_682,91,58
683,student_683,63,52
684,student_684,55,65
685,student_685,87,91
686,student_686,78,84
687,student_687,65,84
688,student_688,75,91
689,student_689,84,91
690,student_690,91,89
691,student_691,92,86
692,student_692,81,93
693,student_693,94,94
694,student_694,54,93
695,student_695,67,62
696,student_696,54,77
697,student_697,89,75
698,student_698,99,75
699,student_699,91,55
700,student_700,58,61
701,student_701,61,74
702,student_702,84,79
703,student_703,66,99
704,student_704,81,97
705,student_705,78,96
706,student_706,81,98
707,student_707,96,78
708,student_708,89,65
709,student_709,88,87
710,student_710,70,78
711,student_711,80,79
712,student_712,51,60
713,student_713,97,99
714,student_714,86,63
715,student_715,50,54
716,student_716,91,77
717,student_717,66,99
718,student_718,68,92
719,student_719,52,62
720,student_720,80,80
721,student_721,87,95
722,student_722,56,53
723,student_723,57,58
724,student_724,60,64
725,student_725,97,99
726,student_726,65,63
727,student_727,55,66
728,student_728,63,92
729,student_729,79,81
730,student_730,52,95
731,student_731,57,67
732,student_732,69,83
733,student_733,75,70
734,student_734,86,60
735,student_735,64,80
736,student_736,80,66
737,student_737,51,61
738,student_738,75,79
739,student_739,75,95
740,student_740,93,65
741,student_741,75,63
742,student_742,96,55
743,student_743,92,60
744,student_744,72,75
745,student_745,63,62
746,student_746,55,81
747,student_747,55,90
748,student_748,57,50
749,student_749,93,90
750,student_750,88,61
751,student_751,88,56
752,student_752,78,98
753,student_753,60,97
754,student_754,98,94
755,student_755,75,85
756,student_756,99,64
757,student_757,59,64
758,student_758,61,64
759,student_759,94,61
760,student_760,56,90
761,student_761,97,96
762,student_762,91,66
763,student_763,97,72
764,student_764,91,69
765,student_765,84,78
766,student_766,64,66
767,student_767,64,95
768,student_768,84,72
769,student_769,74,56
770,student_770,100,96
771,student_771,75,98
772,student_772,79,55
773,student_773,91,95
774,student_774,100,52
775,student_775,100,75
776,student_776,90,65
777,student_777,76,88
778,student_778,75,50
779,student_779,76,71
780,student_780,74,88
781,student_781,54,89
782,student_782,90,68
783,student_783,77,54
784,student_784,88,75
785,student_785,92,50
786,student_786,82,77
787,student_787,78,84
788,student_788,61,82
789,student_789,93,63
790,student_790,79,86
791,student_791,56,85
792,student_792,70,80
793,student_793,96,94
794,student_794,98,62
795,student_795,82,100
796,student_796,86,77
797,student_797,67,60
798,student_798,60,91
799,student_799,73,77
800,student_800,83,76
801,student_801,71,67
802,student_802,98,56
803,student_803,84,91
804,student_804,78,58
805,student_805,60,100
806,student_806,88,97
807,student_807,65,52
808,student_808,97,66
809,student_809,88,84
810,student_810,52,72
811,student_811,87,75
812,student_812,65,67
813,student_813,99,73
814,student_814,54,87
815,student_815,62,74
816,student_816,78,90
817,student_817,70,97
818,student_818,72,50
819,student_819,60,87
820,student_820,66,92
821,student_821,77,60
822,student_822,61,76
823,student_823,91,68
824,student_824,67,62
825,student_825,58,89
826,student_826,81,63
827,student_827,76,58
828,student_828,92,67
829,student_829,79,51
830,student_830,88,72
831,student_831,65,72
832,student_832,59,79
833,student_833,98,68
834,student_834,91,58
835,student_835,68,53
836,student_836,56,50
837,student_837,50,85
838,student_838,82,92
839,student_839,73,78
840,student_840,82,78
841,student_841,100,96
842,student_842,74,95
843,student_843,65,64
844,student_844,74,50
845,student_845,57,65
846,student_846,85,82
847,student_847,63,57
848,student_848,86,79
849,student_849,77,58
850,student_850,50,89
851,student_851,75,92
852,student_852,81,89
853,student_853,66,51
854,student_854,74,90
855,student_855,74,96
856,student_856,75,96
857,student_857,81,54
858,student_858,78,78
859,student_859,62,94
860,student_860,78,55
861,student_861,82,62
862,student_862,89,73
863,student_863,75,96
864,student_864,96,72
865,student_865,91,55
866,student_866,70,86
867,student_867,99,96
868,student_868,81,98
869,student_869,72,56
870,student_870,82,99
871,student_871,55,85
872,student_872,50,53
873,student_873,63,56
874,student_874,94,85
875,student_875,79,91
876,student_876,96,84
877,student_877,81,79
878,student_878,52,74
879,student_879,54,64
880,student_880,68,81
881,student_881,51,87
882,student_882,55,96
883,student_883,79,50
884,student_884,50,89
885,student_885,53,83
886,student_886,86,70
887,student_887,53,84
888,student_888,63,90
889,student_889,50,78
890,student_890,98,96
891,student_891,88,85
892,student_892,57,85
893,student_893,89,96
894,student_894,67,61
895,student_895,79,77
896,student_896,70,70
897,student_897,76,51
898,student_898,56,98
899,student_899,54,95
900,student_900,64,77
901,student_901,66,88
902,student_902,79,91
903,student_903,50,88
904,student_904,70,97
905,student_905,79,74
906,student_906,71,97
907,student_907,70,80
908,student_908,63,69
909,student_909,76,100
910,student_910,54,93
911,student_911,92,57
912,student_912,100,94
913,student_913,94,78
914,student_914,65,74
915,student_915,78,84
916,student_916,61,94
917,student_917,90,50
918,student_918,53,66
919,student_919,97,80
920,student_920,73,65
921,student_921,59,86
922,student_922,55,97
923,student_923,75,66
924,student_924,69,89
925,student_925,87,53
926,student_926,72,67
927,student_927,98,74
928,student_928,97,65
929,student_929,64,79
930,student_930,65,78
931,student_931,55,83
932,student_932,60,72
933,student_933,56,86
934,student_934,74,83
935,student_935,94,88
936,student_936,99,53
937,student_937,50,93
938,student_938,96,75
939,student_939,84,92
940,student_940,91,99
941,student_941,61,51
942,student_942,61,83
943,student_943,71,79
944,student_944,67,75
945,student_945,98,78
946,student_946,69,75
947,student_947,86,97
948,student_948,92,91
949,student_949,61,81
950,student_950,61,91
951,student_951,93,98
952,student_952,83,73
953,student_953,90,89
954,student_954,94,51
955,student_955,88,81
956,student_956,58,71
957,student_957,83,66
958,student_958,90,79
959,student_959,87,60
960,student_960,56,50
961,student_961,54,73
962,student_962,77,77
963,student_963,85,66
964,student_964,89,89
965,student_965,99,69
966,student_966,50,59
967,student_967,66,78
968,student_968,53,87
969,student_969,62,78
970,student_970,88,50
971,student_971,71,61
972,student_972,59,75
973,student_973,73,69
974,student_974,57,57
975,student_975,51,60
976,student_976,60,59
977,student_977,93,91
978,student_978,95,77
979,student_979,77,77
980,student_980,82,70
981,student_981,60,56
982,student_982,50,81
983,student_983,90,55
984,student_984,61,68
985,student_985,97,64
986,student_986,90,81
987,student_987,57,51
988,student_988,85,100
989,student_989,55,79
990,student_990,58,79
991,student_991,57,68
992,student_992,100,77
993,student_993,100,91
994,student_994,74,61
995,student_995,91,89
996,student_996,51,61
997,student_997,65,68
998,student_998,69,95
999,student_999,57,64
1000,student_1000,86,74
1001,student_1001,65,66
1002,student_1002,54,100
1003,student_1003,69,85
1004,student_1004,99,69
1005,student_1005,94,67
1006,student_1006,61,91
1007,student_1007,78,63
1008,student_1008,95,68
1009,student_1009,90,92
1010,student_1010,64,98
1011,student_1011,74,96
1012,student_1012,53,55
1013,student_1013,53,77
1014,student_1014,95,54
1015,student_1015,83,78
1016,student_1016,58,56
1017,student_1017,76,68
1018,student_1018,96,61
1019,student_1019,79,78
1020,student_1020,64,58
1021,student_1021,81,61
1022,student_1022,59,85
1023,student_1023,54,53
1024,student_1024,64,50
1025,student_1025,81,76
1026,student_1026,82,99
1027,student_1027,99,93
1028,student_1028,59,79
1029,student_1029,93,56
1030,student_1030,66,70
1031,student_1031,94,100
1032,student_1032,63,86
1033,student_1033,82,64
1034,student_1034,64,51
1035,student_1035,77,95
1036,student_1036,89,58
1037,student_1037,100,56
1038,student_1038,66,91
1039,student_1039,66,91
1040,student_1040,97,99
1041,student_1041,77,68
1042,student_1042,87,53
1043,student_1043,75,59
1044,student_1044,74,87
1045,student_1045,52,61
1046,student_1046,94,86
1047,student_1047,73,96
1048,student_1048,83,78
1049,student_1049,73,67
1050,student_1050,66,52
1051,student_1051,100,69
1052,student_1052,81,55
1053,student_1053,69,61
1054,student_1054,57,74
1055,student_1055,57,74
1056,student_1056,83,63
1057,student_1057,57,53
1058,student_1058,57,92
1059,student_1059,76,92
1060,student_1060,62,81
1061,student_1061,92,87
1062,student_1062,72,60
1063,student_1063,98,82
1064,student_1064,72,67
1065,student_1065,100,73
1066,student_1066,92,58
1067,student_1067,66,78
1068,student_1068,92,97
1069,student_1069,83,76
1070,student_1070,79,66
1071,student_1071,83,98
1072,student_1072,77,81
1073,student_1073,82,53
1074,student_1074,95,55
1075,student_1075,67,71
1076,student_1076,100,90
1077,student_1077,68,72
1078,student_1078,62,96
1079,student_1079,79,58
1080,student_1080,74,81
1081,student_1081,96,79
1082,student_1082,87,82
1083,student_1083,71,63
1084,student_1084,93,58
1085,student_1085,64,76
1086,student_1086,70,100
1087,student_1087,62,58
1088,student_1088,95,64
1089,student_1089,76,67
1090,student_1090,60,76
1091,student_1091,89,66
1092,student_1092,100,76
1093,student_1093,62,81
1094,student_1094,69,59
1095,student_1095,93,56
1096,student_1096,63,63
1097,student_1097,95,64
1098,student_1098,85,57
1099,student_1099,53,60
1100,student_1100,97,81
1101,student_1101,80,52
1102,student_1102,54,93
1103,student_1103,83,75
1104,student_1104,71,91
1105,student_1105,57,56
1106,student_1106,65,77
1107,student_1107,60,61
1108,student_1108,74,58
1109,student_1109,56,66
1110,student_1110,100,66
1111,student_1111,63,71
1112,student_1112,99,75
1113,student_1113,62,58
1114,student_1114,58,59
1115,student_1115,89,65
1116,student_1116,100,85
1117,student_1117,67,95
1118,student_1118,65,83
1119,student_1119,77,60
1120,student_1120,77,78
1121,student_1121,55,84
1122,student_1122,52,57
1123,student_1123,66,90
1124,student_1124,91,88
1125,student_1125,76,51
1126,student_1126,89,90
1127,student_1127,84,79
1128,student_1128,57,64
1129,student_1129,76,50
1130,student_1130,89,67
1131,student_1131,78,66
1132,student_1132,72,60
1133,student_1133,75,59
1134,student_1134,54,53
1135,student_1135,89,91
1136,student_1136,55,50
1137,student_1137,97,68
1138,student_1138,56,91
1139,student_1139,60,55
1140,student_1140,100,71
1141,student_1141,50,95
1142,student_1142,89,90
1143,student_1143,89,78
1144,student_1144,77,90
1145,student_1145,77,80
1146,student_1146,98,85
1147,student_1147,63,95
1148,student_1148,72,87
1149,student_1149,88,55
1150,student_1150,50,76
1151,student_1151,78,93
1152,student_1152,78,84
1153,student_1153,50,58
1154,student_1154,71,52
1155,student_1155,95,76
1156,student_1156,73,92
1157,student_1157,54,50
1158,student_1158,65,64
1159,student_1159,93,57
1160,student_1160,62,84
1161,student_1161,95,82
1162,student_1162,80,98
1163,student_1163,95,61
1164,student_1164,99,86
1165,student_1165,82,89
1166,student_1166,51,100
1167,student_1167,57,95
1168,student_1168,56,67
1169,student_1169,90,61
1170,student_1170,66,93
1171,student_1171,73,81
1172,student_1172,63,90
1173,student_1173,74,90
1174,student_1174,88,98
1175,student_1175,90,72
1176,student_1176,84,52
1177,student_1177,62,95
1178,student_1178,97,80
1179,student_1179,70,82
1180,student_1180,62,50
1181,student_1181,96,85
1182,student_1182,55,64
1183,student_1183,69,92
1184,student_1184,65,78
1185,student_1185,53,63
1186,student_1186,91,84
1187,student_1187,100,55
1188,student_1188,50,52
1189,student_1189,81,59
1190,student_1190,71,83
1191,student_1191,53,55
1192,student_1192,95,98
1193,student_1193,67,67
1194,student_1194,54,50
1195,student_1195,66,91
1196,student_1196,77,54
1197,student_1197,96,59
1198,student_1198,96,55
1199,student_1199,88,79
1200,student_1200,66,82
1201,student_1201,55,68
1202,student_1202,79,92
1203,student_1203,70,52
1204,student_1204,55,72
1205,student_1205,98,63
1206,student_1206,58,89
1207,student_1207,75,50
1208,student_1208,64,62
1209,student_1209,74,92
1210,student_1210,93,94
1211,student_1211,57,81
1212,student_1212,79,65
1213,student_1213,61,84
1214,student_1214,69,59
1215,student_1215,68,84
1216,student_1216,64,86
1217,student_1217,90,64
1218,student_1218,85,86
1219,student_1219,79,54
1220,student_1220,67,56
1221,student_1221,62,92
1222,student_1222,98,94
1223,student_1223,55,72
1224,student_1224,71,92
1225,student_1225,69,83
1226,student_1226,83,98
1227,student_1227,95,58
1228,student_1228,66,66
1229,student_1229,60,55
1230,student_1230,68,66
1231,student_1231,100,90
1232,student_1232,79,85
1233,student_1233,54,99
1234,student_1234,54,54
1235,student_1235,73,80
1236,student_1236,81,68
1237,student_1237,79,97
1238,student_1238,55,89
1239,student_1239,76,57
1240,student_1240,79,66
1241,student_1241,68,68
1242,student_1242,63,76
1243,student_1243,69,52
1244,student_1244,67,71
1245,student_1245,85,64
1246,student_1246,73,66
1247,student_1247,75,70
1248,student_1248,97,53
1249,student_1249,96,98
1250,student_1250,90,81
1251,student_1251,65,82
1252,student_1252,65,74
1253,student_1253,66,88
1254,student_1254,84,51
1255,student_1255,75,80
1256,student_1256,50,50
1257,student_1257,59,93
1258,student_1258,75,93
1259,student_1259,50,58
1260,student_1260,58,97
1261,student_1261,68,54
1262,student_1262,78,61
1263,student_1263,91,91
1264,student_1264,61,72
1265,student_1265,53,86
1266,student_1266,99,55
1267,student_1267,99,81
1268,student_1268,50,51
1269,student_1269,67,85
1270,student_1270,66,52
1271,student_1271,82,71
1272,student_1272,100,82
1273,student_1273,82,72
1274,student_1274,75,79
1275,student_1275,61,52
1276,student_1276,83,57
1277,student_1277,93,91
1278,student_1278,52,73
1279,student_1279,86,77
1280,student_1280,59,89
1281,student_1281,66,87
1282,student_1282,74,66
1283,student_1283,100,71
1284,student_1284,81,96
1285,student_1285,71,59
1286,student_1286,87,90
1287,student_1287,50,89
1288,student_1288,80,83
1289,student_1289,79,71
1290,student_1290,94,95
1291,student_1291,96,97
1292,student_1292,81,96
1293,student_1293,78,93
1294,student_1294,54,81
1295,student_1295,74,60
1296,student_1296,52,85
1297,student_1297,94,92
1298,student_1298,61,80
1299,student_1299,69,93
1300,student_1300,67,95
1301,student_1301,55,59
1302,student_1302,55,53
1303,student_1303,50,56
1304,student_1304,97,71
1305,student_1305,67,63
1306,student_1306,81,61
1307,student_1307,87,86
1308,student_1308,72,100
1309,student_1309,69,96
1310,student_1310,72,98
1311,student_1311,99,52
1312,student_1312,99,97
1313,student_1313,67,93
1314,student_1314,85,78
1315,student_1315,84,57
1316,student_1316,66,87
1317,student_1317,89,96
1318,student_1318,55,89
1319,student_1319,59,87
1320,student_1320,74,84
1321,student_1321,77,80
1322,student_1322,92,63
1323,student_1323,67,72
1324,student_1324,97,55
1325,student_1325,82,90
1326,student_1326,97,97
1327,student_1327,85,60
1328,student_1328,59,85
1329,student_1329,88,98
1330,student_1330,52,54
1331,student_1331,91,60
